	BLCA	BRCA	CESC	COAD	ESCA	HNSC	KIRC	KIRP	LGG	LIHC	LUAD	LUSC	OV	PAAD	PCPG	PRAD	READ	SARC	STAD	TGCT	THCA	UCEC
LUAD	0.1520376993445163	0.16170815551970466	0.145403520908094	0.14405301144344462	0.1298919067035839	0.14297953874553115	0.13115334451276317	0.12316555813828604	0.0944317198962104	0.12272127690206501	1.0	0.21143006543989296	0.10556613862709711	0.129552783488684	0.09101408385201491	0.12188652522912309	0.11162988301352944	0.10460735434112654	0.15955944425597046	0.11192083902018533	0.1409922778830651	0.1358001502629602
LUSC	0.1720516272845236	0.15615543170151097	0.1800056469828977	0.13531810016124063	0.16719822943314933	0.20195496881106728	0.11723290735410058	0.11310716192625636	0.09232563322879021	0.11142403290538933	0.21143006543989296	1.0	0.10953585652380833	0.11778012553601393	0.08918407534576507	0.10188540244473716	0.10774886263399627	0.11351340406576496	0.16262283197137925	0.11323654812150223	0.12193989620072479	0.1342301733735043
OV	0.1025836077740155	0.10173904696386718	0.09732463753665423	0.09358830146231721	0.08303709040936398	0.09394235335226815	0.0847740382974366	0.0815578739790276	0.07265675500969619	0.08280981261881054	0.10556613862709711	0.10953585652380833	1.0	0.0822052294030587	0.06988509136480497	0.07567295958653363	0.079911918931621	0.08660788602620932	0.09223303138128552	0.07834412584776133	0.08718992818343049	0.11227231182547523
PAAD	0.116369396746811	0.12986246432238815	0.11129973858038766	0.12331924520443563	0.1182177297548507	0.11395898876656628	0.10090796709152138	0.10590721446825241	0.08646516237231286	0.10047320895387343	0.129552783488684	0.11778012553601393	0.0822052294030587	1.0	0.0862309977284641	0.10982566430920573	0.09922034380782187	0.09250212709004522	0.13737947563898495	0.0890982214969754	0.11588571520512295	0.09924345765875722
PCPG	0.0865408418482761	0.10058055480256618	0.07926737789631605	0.07715556397483973	0.07538998240282967	0.07538876645177237	0.10049888167695686	0.09206972335463956	0.08289277301253349	0.08461339736829845	0.09101408385201491	0.08918407534576507	0.06988509136480497	0.0862309977284641	1.0	0.080621070237105	0.06436133896202556	0.08671480404425998	0.08091462960972827	0.08108582529119435	0.09975562164926971	0.08747643210548293
PRAD	0.10774540564769162	0.13312783390342853	0.09100174786504574	0.10535374416042109	0.08491509866911427	0.1092576636940558	0.1076678134990149	0.1020162765975986	0.08596003200416799	0.09720346985059876	0.12188652522912309	0.10188540244473716	0.07567295958653363	0.10982566430920573	0.080621070237105	1.0	0.08663145062982527	0.07944028714579662	0.11451895197196135	0.08113969158739893	0.11655376063922182	0.10582218551674491
READ	0.10337045863528038	0.1003655174421264	0.09756213309794654	0.18472802790276632	0.10863242558386467	0.09303055426743298	0.08457726960814893	0.08117376455008016	0.06327466070796195	0.08671592860983304	0.11162988301352944	0.10774886263399627	0.079911918931621	0.09922034380782187	0.06436133896202556	0.08663145062982527	1.0	0.07006264177019333	0.1323817872727889	0.07985523370838077	0.08115297508750258	0.09944051867884052
SARC	0.11994574930372225	0.11441971905977419	0.10450791753284139	0.09089805006409823	0.0934421068227276	0.10529644751535455	0.10059700619566261	0.09572309373292749	0.0830589470066735	0.09245578392830445	0.10460735434112654	0.11351340406576496	0.08660788602620932	0.09250212709004522	0.08671480404425998	0.07944028714579662	0.07006264177019333	1.0	0.1119477845675362	0.10045002000996414	0.10208721696604763	0.10300232372536829
STAD	0.1545805982928158	0.13840079489593138	0.14056091575337862	0.17348370434580568	0.18777606288556106	0.135259664517843	0.11510282093936927	0.1077922605270638	0.0803852075523199	0.11050182991129583	0.15955944425597046	0.16262283197137925	0.09223303138128552	0.13737947563898495	0.08091462960972827	0.11451895197196135	0.1323817872727889	0.1119477845675362	1.0	0.1119469179462959	0.10967325676453445	0.12985166976036389
TGCT	0.1007555399774117	0.10602352242639317	0.09869214252086946	0.09165555119654767	0.09701886959924796	0.09591279001451732	0.10335010104884274	0.09250569070587478	0.08246231863642767	0.09122781417281713	0.11192083902018533	0.11323654812150223	0.07834412584776133	0.0890982214969754	0.08108582529119435	0.08113969158739893	0.07985523370838077	0.10045002000996414	0.1119469179462959	1.0	0.10179112226356321	0.10237911621809208
THCA	0.11586493114506696	0.13592411573372387	0.10902118132142184	0.10616667172836881	0.09317229952595002	0.11720762779213194	0.13293017383985836	0.13131032723480401	0.08884951516274474	0.11979117621578458	0.1409922778830651	0.12193989620072479	0.08718992818343049	0.11588571520512295	0.09975562164926971	0.11655376063922182	0.08115297508750258	0.10208721696604763	0.10967325676453445	0.10179112226356321	1.0	0.11181345955774358
UCEC	0.1263410043630764	0.148583484026522	0.1295258747985453	0.12852585335239358	0.11576366648260629	0.10696628660285315	0.1138197144756166	0.1119668466741314	0.09151767169948273	0.1074842562159721	0.1358001502629602	0.1342301733735043	0.11227231182547523	0.09924345765875722	0.08747643210548293	0.10582218551674491	0.09944051867884052	0.10300232372536829	0.12985166976036389	0.10237911621809208	0.11181345955774358	1.0
