ensg	symbol	biotype	chrom	start	end	strand	host_symbol	host_ensg	host_type
ENSG00000266262	MIR4428	miRNA	1	237471119	237471191	1	RYR2	ENSG00000198626	intragenic
ENSG00000266150	MIR4711	miRNA	1	59733227	59733296	-1	FGGY	ENSG00000172456	antisense
ENSG00000264014	MIR4253	miRNA	1	22863159	22863226	-1	EPHB2	ENSG00000133216	antisense
ENSG00000265986	MIR4735	miRNA	1	196582413	196582481	-1	KCNT2	ENSG00000162687	intragenic
ENSG00000283876	MIR4260	miRNA	1	209623444	209623510	-1	LAMB3	ENSG00000196878	intragenic
ENSG00000278281	MIR7856	miRNA	1	86357632	86357687	-1	ODF2L	ENSG00000122417	intragenic
ENSG00000263439	MIR4753	miRNA	1	235190034	235190116	-1	ARID4B	ENSG00000054267	intragenic
ENSG00000266110	MIR4423	miRNA	1	85133794	85133873	1			intergenic
ENSG00000266144	MIR4654	miRNA	1	162157107	162157182	1		ENSG00000285636	antisense
ENSG00000266144	MIR4654	miRNA	1	162157107	162157182	1	NOS1AP	ENSG00000198929	intragenic
ENSG00000207729	MIR556	miRNA	1	162342546	162342640	1	NOS1AP	ENSG00000198929	intragenic
ENSG00000215938	MIR190B	miRNA	1	154193665	154193743	-1	TPM3	ENSG00000143549	intragenic
ENSG00000207776	MIR551A	miRNA	1	3560695	3560790	-1	MEGF6	ENSG00000162591	intragenic
ENSG00000222831	MIR1537	miRNA	1	235853000	235853060	-1	LYST	ENSG00000143669	intragenic
ENSG00000276830	MIR6730	miRNA	1	12578957	12579023	-1	DHRS3	ENSG00000162496	intragenic
ENSG00000275836	MIR6068	miRNA	1	63326925	63326984	-1		ENSG00000300378	intragenic
ENSG00000275836	MIR6068	miRNA	1	63326925	63326984	-1	ALG6	ENSG00000088035	antisense
ENSG00000275836	MIR6068	miRNA	1	63326925	63326984	-1	ITGB3BP	ENSG00000142856	intragenic
ENSG00000207975	MIR181B1	miRNA	1	198858873	198858982	-1	MIR181A1HG	ENSG00000229989	intragenic
ENSG00000207759	MIR181A1	miRNA	1	198859044	198859153	-1	MIR181A1HG	ENSG00000229989	intragenic
ENSG00000283795	MIR4426	miRNA	1	192716328	192716390	1	RPS27AP5	ENSG00000231767	intragenic
ENSG00000283795	MIR4426	miRNA	1	192716328	192716390	1	RGS2-AS1	ENSG00000285280	antisense
ENSG00000278073	MIR6726	miRNA	1	1296110	1296170	-1	ACAP3	ENSG00000131584	intragenic
ENSG00000283712	MIR6727	miRNA	1	1312502	1312566	-1	INTS11	ENSG00000127054	intragenic
ENSG00000284372	MIR6808	miRNA	1	1339650	1339708	-1	DVL1	ENSG00000107404	intragenic
ENSG00000265521	MIR5697	miRNA	1	9967381	9967458	1	NMNAT1	ENSG00000173614	intragenic
ENSG00000265996	MIR3671	miRNA	1	65057755	65057842	-1	JAK1	ENSG00000162434	intragenic
ENSG00000199135	MIR101-1	miRNA	1	65058434	65058508	-1	JAK1	ENSG00000162434	intragenic
ENSG00000199059	MIR135B	miRNA	1	205448302	205448398	-1	LEMD1	ENSG00000186007	intragenic
ENSG00000199059	MIR135B	miRNA	1	205448302	205448398	-1	BLACAT1	ENSG00000281406	intragenic
ENSG00000264483	MIR5008	miRNA	1	227941590	227941683	-1	WNT9A	ENSG00000143816	intragenic
ENSG00000221662	MIR1290	miRNA	1	18897071	18897148	-1	ALDH4A1	ENSG00000159423	intragenic
ENSG00000207606	MIR554	miRNA	1	151545796	151545891	1		ENSG00000232536	intragenic
ENSG00000207606	MIR554	miRNA	1	151545796	151545891	1	TUFT1	ENSG00000143367	intragenic
ENSG00000238705	MIR1976	miRNA	1	26554542	26554593	1	RPS6KA1	ENSG00000117676	intragenic
ENSG00000274940	MIR8083	miRNA	1	153689705	153689793	-1	NPR1	ENSG00000169418	antisense
ENSG00000278791		miRNA	1	632325	632413	-1	MTCO1P12	ENSG00000237973	antisense
ENSG00000278791		miRNA	1	632325	632413	-1		ENSG00000293331	intragenic
ENSG00000278791		miRNA	1	632325	632413	-1	LINC00115	ENSG00000225880	intragenic
ENSG00000265822	MIR4422	miRNA	1	55225641	55225723	1	MIR4422HG	ENSG00000231090	intragenic
ENSG00000274258	MIR6728	miRNA	1	8866502	8866590	-1	ENO1	ENSG00000074800	intragenic
ENSG00000283676	MIR5087	miRNA	1	148334479	148334554	-1	LINC01138	ENSG00000274020	intragenic
ENSG00000283676	MIR5087	miRNA	1	148334479	148334554	-1	LINC02806	ENSG00000238107	antisense
ENSG00000278596	MIR6077	miRNA	1	148388282	148388363	1	LINC01138	ENSG00000274020	antisense
ENSG00000265392	MIR4252	miRNA	1	6429834	6429896	-1	ESPN	ENSG00000187017	antisense
ENSG00000278034	MIR6731	miRNA	1	24919345	24919416	-1	RUNX3	ENSG00000020633	intragenic
ENSG00000264371	MIR4425	miRNA	1	25023503	25023586	1			intergenic
ENSG00000207730	MIR200B	miRNA	1	1167104	1167198	1			intergenic
ENSG00000207607	MIR200A	miRNA	1	1167863	1167952	1			intergenic
ENSG00000198976	MIR429	miRNA	1	1169005	1169087	1			intergenic
ENSG00000264470	MIR4794	miRNA	1	64579847	64579923	1	CACHD1	ENSG00000158966	intragenic
ENSG00000264834		miRNA	1	52928674	52928772	1	SCP2	ENSG00000116171	intragenic
ENSG00000266188		miRNA	1	52934930	52935017	1	SCP2	ENSG00000116171	intragenic
ENSG00000265815		miRNA	1	52940314	52940413	1	SCP2	ENSG00000116171	intragenic
ENSG00000215952	MIR921	miRNA	1	166154743	166154798	-1		ENSG00000230898	intragenic
ENSG00000215952	MIR921	miRNA	1	166154743	166154798	-1	FAM78B	ENSG00000188859	intragenic
ENSG00000275207	MIR6740	miRNA	1	202003124	202003236	1	ELF3-AS1	ENSG00000234678	antisense
ENSG00000275207	MIR6740	miRNA	1	202003124	202003236	1	RNPEP	ENSG00000176393	intragenic
ENSG00000284214	MIR29C	miRNA	1	207801852	207801939	-1	MIR29B2CHG	ENSG00000203709	intragenic
ENSG00000284203	MIR29B2	miRNA	1	207802443	207802523	-1	MIR29B2CHG	ENSG00000203709	intragenic
ENSG00000283749	MIR4781	miRNA	1	54054079	54054154	1	TCEANC2	ENSG00000116205	intragenic
ENSG00000283899	MIR761	miRNA	1	51836344	51836402	-1	NRDC	ENSG00000078618	intragenic
ENSG00000284247	MIR2682	miRNA	1	98045242	98045351	-1	MIR137HG	ENSG00000225206	intragenic
ENSG00000284202	MIR137	miRNA	1	98046070	98046171	-1	MIR137HG	ENSG00000225206	intragenic
ENSG00000207974	MIR557	miRNA	1	168375524	168375621	1		ENSG00000293102	intragenic
ENSG00000207974	MIR557	miRNA	1	168375524	168375621	1		ENSG00000228697	antisense
ENSG00000207974	MIR557	miRNA	1	168375524	168375621	1		ENSG00000307038	intragenic
ENSG00000265606	MIR4695	miRNA	1	18883202	18883275	-1	ALDH4A1	ENSG00000159423	intragenic
ENSG00000263908	MIR3116-1	miRNA	1	62078786	62078859	1	PATJ	ENSG00000132849	intragenic
ENSG00000283690	MIR3116-2	miRNA	1	62078789	62078856	-1	PATJ	ENSG00000132849	antisense
ENSG00000283936	MIR3658	miRNA	1	165907921	165907976	1	UCK2	ENSG00000143179	intragenic
ENSG00000265596	MIR3659	miRNA	1	38089231	38089329	1		ENSG00000303176	antisense
ENSG00000265596	MIR3659	miRNA	1	38089231	38089329	1	MIR3659HG	ENSG00000224592	intragenic
ENSG00000273874	MIR6859-2	miRNA	1	187891	187958	-1	WASH9P	ENSG00000279457	intragenic
ENSG00000273874	MIR6859-2	miRNA	1	187891	187958	-1	WASH9P	ENSG00000310527	intragenic
ENSG00000273874	MIR6859-2	miRNA	1	187891	187958	-1		ENSG00000310528	intragenic
ENSG00000202609	MIR488	miRNA	1	177029363	177029445	-1	ASTN1	ENSG00000152092	intragenic
ENSG00000265435	MIR3121	miRNA	1	180438314	180438390	-1	ACBD6	ENSG00000230124	intragenic
ENSG00000265744	MIR4427	miRNA	1	233624152	233624219	1	KCNK1	ENSG00000135750	intragenic
ENSG00000264419	MIR548AC	miRNA	1	116560024	116560111	-1		ENSG00000298543	antisense
ENSG00000264419	MIR548AC	miRNA	1	116560024	116560111	-1	CD58	ENSG00000116815	intragenic
ENSG00000211543	MIR320B1	miRNA	1	116671749	116671827	1			intergenic
ENSG00000264773	MIR4420	miRNA	1	30739156	30739232	-1	LAPTM5	ENSG00000162511	intragenic
ENSG00000274809	MIR6078	miRNA	10	3991160	3991259	1		ENSG00000304847	antisense
ENSG00000278069	MIR6072	miRNA	10	2076019	2076089	-1		ENSG00000226694	antisense
ENSG00000278069	MIR6072	miRNA	10	2076019	2076089	-1		ENSG00000303635	intragenic
ENSG00000207938	MIR511	miRNA	10	17845107	17845193	1	MRC1	ENSG00000260314	intragenic
ENSG00000263584	MIR4480	miRNA	10	12578753	12578823	1	CAMK1D	ENSG00000183049	intragenic
ENSG00000283699	MIR4481	miRNA	10	12653138	12653197	-1	CAMK1D	ENSG00000183049	antisense
ENSG00000221331	MIR548Q	miRNA	10	12725254	12725353	-1	CAMK1D	ENSG00000183049	antisense
ENSG00000264574		miRNA	10	23393405	23393467	1			intergenic
ENSG00000207612	MIR604	miRNA	10	29545004	29545097	-1	SVIL-AS1	ENSG00000291093	antisense
ENSG00000207612	MIR604	miRNA	10	29545004	29545097	-1	SVIL	ENSG00000197321	intragenic
ENSG00000216035	MIR938	miRNA	10	29602264	29602346	-1	SVIL	ENSG00000197321	intragenic
ENSG00000207813	MIR605	miRNA	10	51299573	51299655	1	PRKG1	ENSG00000185532	intragenic
ENSG00000264747	MIR3924	miRNA	10	57304479	57304559	-1			intergenic
ENSG00000221063	MIR1296	miRNA	10	63372957	63373048	-1	JMJD1C	ENSG00000171988	intragenic
ENSG00000266719	MIR4676	miRNA	10	72721029	72721100	1	MCU	ENSG00000156026	intragenic
ENSG00000199104	MIR346	miRNA	10	86264694	86264788	-1	GRID1	ENSG00000182771	intragenic
ENSG00000283672	MIR4678	miRNA	10	87503881	87503954	1		ENSG00000286445	antisense
ENSG00000266852	MIR4482	miRNA	10	104268336	104268405	-1		ENSG00000302058	intragenic
ENSG00000263436	MIR3158-1	miRNA	10	101601417	101601497	1	DPCD	ENSG00000166171	intragenic
ENSG00000283558	MIR3158-2	miRNA	10	101601417	101601497	-1	DPCD	ENSG00000166171	antisense
ENSG00000208033	MIR609	miRNA	10	104218789	104218883	-1	CFAP43	ENSG00000197748	intragenic
ENSG00000264803	MIR378C	miRNA	10	130962588	130962668	-1		ENSG00000300141	antisense
ENSG00000265442	MIR3941	miRNA	10	122416965	122417067	1	PLEKHA1	ENSG00000107679	intragenic
ENSG00000202569	MIR146B	miRNA	10	102436512	102436584	1	C10orf95-AS1	ENSG00000269609	intragenic
ENSG00000266676	MIR4297	miRNA	10	129843299	129843374	-1	EBF3	ENSG00000108001	intragenic
ENSG00000265372	MIR4675	miRNA	10	20551970	20552046	1		ENSG00000302338	intragenic
ENSG00000222071	MIR1915	miRNA	10	21496562	21496641	-1	MIR1915HG	ENSG00000204682	intragenic
ENSG00000207976	MIR607	miRNA	10	96828669	96828764	-1			intergenic
ENSG00000283867	MIR1307	miRNA	10	103394253	103394401	-1	ATP5MK	ENSG00000173915	intragenic
ENSG00000284277	MIR7162	miRNA	10	30368597	30368665	-1	GOLGA2P6	ENSG00000241621	intragenic
ENSG00000284277	MIR7162	miRNA	10	30368597	30368665	-1	MTPAP	ENSG00000107951	intragenic
ENSG00000221594	MIR548F1	miRNA	10	54607874	54607957	-1		ENSG00000234173	antisense
ENSG00000221594	MIR548F1	miRNA	10	54607874	54607957	-1	PCDH15	ENSG00000150275	intragenic
ENSG00000274824	MIR7152	miRNA	10	71790747	71790800	1	CDH23	ENSG00000107736	intragenic
ENSG00000284415	MIR1287	miRNA	10	98395218	98395307	-1	PYROXD2	ENSG00000119943	intragenic
ENSG00000264610	MIR4685	miRNA	10	98431292	98431360	-1		ENSG00000289758	intragenic
ENSG00000264610	MIR4685	miRNA	10	98431292	98431360	-1	HPS1	ENSG00000107521	intragenic
ENSG00000265370	MIR4682	miRNA	10	119958513	119958592	1			intergenic
ENSG00000207551	MIR608	miRNA	10	100974985	100975084	1	MRPL43	ENSG00000055950	antisense
ENSG00000207551	MIR608	miRNA	10	100974985	100975084	1	SEMA4G	ENSG00000095539	intragenic
ENSG00000275036	MIR8086	miRNA	10	28289258	28289350	-1	MPP7	ENSG00000150054	intragenic
ENSG00000284219	MIR202	miRNA	10	133247511	133247620	-1	MIR202HG	ENSG00000166917	intragenic
ENSG00000265395	MIR3944	miRNA	10	133371556	133371663	-1	ECHS1	ENSG00000127884	intragenic
ENSG00000283688	MIR6715B	miRNA	10	112299612	112299688	-1		ENSG00000288938	intragenic
ENSG00000283688	MIR6715B	miRNA	10	112299612	112299688	-1	TECTB	ENSG00000119913	antisense
ENSG00000276857	MIR6715A	miRNA	10	112299612	112299690	1		ENSG00000288938	antisense
ENSG00000276857	MIR6715A	miRNA	10	112299612	112299690	1	TECTB	ENSG00000119913	intragenic
ENSG00000198997	MIR107	miRNA	10	89592747	89592827	-1	PANK1	ENSG00000152782	intragenic
ENSG00000263795	MIR5100	miRNA	10	42997563	42997681	1	LINC01264	ENSG00000229630	antisense
ENSG00000263511	MIR5699	miRNA	10	641689	641778	-1	DIP2C	ENSG00000151240	intragenic
ENSG00000276866	MIR7151	miRNA	10	67403351	67403410	-1	CTNNA3	ENSG00000183230	intragenic
ENSG00000266407	MIR3157	miRNA	10	96064315	96064399	-1	ENTPD1-AS1	ENSG00000226688	intragenic
ENSG00000284482	MIR4680	miRNA	10	110898090	110898155	1	PDCD4	ENSG00000150593	intragenic
ENSG00000221214	MIR548E	miRNA	10	110988926	110989013	1	SHOC2	ENSG00000108061	intragenic
ENSG00000266228	MIR3611	miRNA	10	35079598	35079680	-1	CUL2	ENSG00000108094	intragenic
ENSG00000265375	MIR4679-2	miRNA	10	89063335	89063411	-1			intergenic
ENSG00000283664	MIR4679-1	miRNA	10	89063336	89063410	1			intergenic
ENSG00000284442	MIR2110	miRNA	10	114174105	114174179	-1	CCDC186	ENSG00000165813	intragenic
ENSG00000283656	MIR4483	miRNA	10	113777993	113778054	-1	PLEKHS1	ENSG00000148735	antisense
ENSG00000207930	MIR603	miRNA	10	24275685	24275781	1	KIAA1217	ENSG00000120549	intragenic
ENSG00000263628	MIR3155A	miRNA	10	6152196	6152277	1	PFKFB3	ENSG00000170525	intragenic
ENSG00000283634	MIR3155B	miRNA	10	6152207	6152262	-1	PFKFB3	ENSG00000170525	antisense
ENSG00000283788	MIR936	miRNA	10	104048089	104048186	-1	COL17A1	ENSG00000065618	intragenic
ENSG00000264800	MIR4294	miRNA	10	48985512	48985587	-1		ENSG00000233665	intragenic
ENSG00000264800	MIR4294	miRNA	10	48985512	48985587	-1		ENSG00000226576	antisense
ENSG00000266321	MIR4293	miRNA	10	14383200	14383277	-1	FRMD4A	ENSG00000151474	intragenic
ENSG00000221371	MIR1265	miRNA	10	14436576	14436661	1	FRMD4A	ENSG00000151474	antisense
ENSG00000264763	MIR4295	miRNA	10	112634170	112634254	1	VTI1A	ENSG00000151532	intragenic
ENSG00000264572	MIR4296	miRNA	10	125032783	125032870	-1	CTBP2	ENSG00000175029	intragenic
ENSG00000274056	MIR6507	miRNA	10	98924499	98924568	-1	HPSE2	ENSG00000172987	intragenic
ENSG00000207583	MIR606	miRNA	10	75552458	75552553	1	LRMDA	ENSG00000148655	intragenic
